provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
SUMATERA SELATAN;16;2020;551.321;49.75;2.743.060;8.467.400;9.159.243;1.567.102;676.717;890.385;131,57;10.680;29,10;;;;
SUMATERA SELATAN;16;2021;496.242;51.44;2.552.443;8.550.900;9.159.243;1.465.754;724.428;741.326;102,33;9.000;29,10;;;;
SUMATERA SELATAN;16;2022;513.378;54.06;2.775.069;8.657.000;8.677.168;1.584.567;791.961;792.606;100,08;9.875;29,40;;;;
SUMATERA UTARA;12;2018;408.176;51.65;2.108.285;14.477.600;7.298.123;1.203.117;1.473.735;-270.618;-18,36;10.970;28,10;;;;
SUMATERA UTARA;12;2019;413.141;50.32;2.078.902;14.639.400;7.298.123;1.186.349;1.266.601;-80.252;-6,34;11.440;28,95;;;;
SUMATERA UTARA;12;2020;388.591;52.51;2.040.500;14.799.400;7.298.123;1.164.435;1.275.113;-110.678;-8,68;11.300;28,80;;;;
SUMATERA UTARA;12;2021;385.405;52.00;2.004.143;14.936.200;7.298.123;1.149.609;1.326.330;-176.721;-13,32;10.796;26,84;;;;
SUMATERA UTARA;12;2022;411.462;50.76;2.088.584;15.115.200;7.246.074;1.198.046;1.449.974;-251.928;-17,37;11.466;26,86;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
